$ all processes (read-only)
    PID    PPID STAT     ELAPSED COMMAND
    188       2 I<   15-18:33:23 [kworker/R-quota_events_unbound]
    189       2 I<   15-18:33:23 [kworker/16:1H-kblockd]
    191       2 S    15-18:33:23 [kswapd0]
    192       2 S    15-18:33:23 [ecryptfs-kthread]
    193       2 I<   15-18:33:23 [kworker/R-kthrotld]
    194       2 I<   15-18:33:23 [kworker/R-acpi_thermal_pm]
    195       2 S    15-18:33:23 [hwrng]
    196       2 I<   15-18:33:23 [kworker/R-hfi-updates]
    197       2 I<   15-18:33:23 [kworker/R-mld]
    198       2 I<   15-18:33:23 [kworker/R-ipv6_addrconf]
    199       2 I<   15-18:33:23 [kworker/R-kstrp]
    220       2 I<   15-18:33:23 [kworker/R-charger_manager]
    221       2 I<   15-18:33:23 [kworker/0:1H-kblockd]
    244       2 I<   15-18:33:23 [kworker/17:1H-kblockd]
    249       2 I<   15-18:33:23 [kworker/21:1H-kblockd]
    252       2 I<   15-18:33:23 [kworker/12:1H-kblockd]
    263       2 I<   15-18:33:23 [kworker/2:1H-kblockd]
    265       2 I<   15-18:33:23 [kworker/14:1H-kblockd]
    269       2 I<   15-18:33:23 [kworker/20:1H-kblockd]
    270       2 I<   15-18:33:23 [kworker/19:1H-kblockd]
    272       2 I<   15-18:33:23 [kworker/6:1H-kblockd]
    275       2 I<   15-18:33:23 [kworker/4:1H-kblockd]
    282       2 I<   15-18:33:23 [kworker/18:1H-kblockd]
    283       2 I<   15-18:33:23 [kworker/10:1H-kblockd]
    285       2 I<   15-18:33:23 [kworker/22:1H-kblockd]
    289       2 I<   15-18:33:23 [kworker/8:1H-kblockd]
    317       2 I<   15-18:33:23 [kworker/13:1H-kblockd]
    318       2 I<   15-18:33:23 [kworker/15:1H-kblockd]
    319       2 I<   15-18:33:23 [kworker/23:1H-kblockd]
    320       2 I<   15-18:33:23 [kworker/3:1H-kblockd]
    322       2 I<   15-18:33:23 [kworker/1:1H-kblockd]
    324       2 I<   15-18:33:23 [kworker/5:1H-kblockd]
    325       2 I<   15-18:33:23 [kworker/9:1H-kblockd]
    326       2 I<   15-18:33:23 [kworker/7:1H-kblockd]
    341       2 I<   15-18:33:23 [kworker/R-nvme-wq]
    343       2 I<   15-18:33:23 [kworker/R-nvme-reset-wq]
    344       2 I<   15-18:33:23 [kworker/R-nvme-delete-wq]
    345       2 I<   15-18:33:23 [kworker/R-nvme-auth-wq]
    366       2 S    15-18:33:23 [scsi_eh_0]
    367       2 I<   15-18:33:23 [kworker/R-scsi_tmf_0]
    368       2 S    15-18:33:23 [scsi_eh_1]
    369       2 I<   15-18:33:23 [kworker/R-scsi_tmf_1]
    370       2 S    15-18:33:23 [scsi_eh_2]
    371       2 I<   15-18:33:23 [kworker/R-scsi_tmf_2]
    372       2 S    15-18:33:23 [scsi_eh_3]
    373       2 I<   15-18:33:23 [kworker/R-scsi_tmf_3]
    374       2 S    15-18:33:23 [scsi_eh_4]
    375       2 I<   15-18:33:23 [kworker/R-scsi_tmf_4]
    376       2 S    15-18:33:23 [scsi_eh_5]
    377       2 I<   15-18:33:23 [kworker/R-scsi_tmf_5]
    378       2 S    15-18:33:23 [scsi_eh_6]
    379       2 I<   15-18:33:23 [kworker/R-scsi_tmf_6]
    380       2 S    15-18:33:23 [scsi_eh_7]
    381       2 I<   15-18:33:23 [kworker/R-scsi_tmf_7]
    403       2 I<   15-18:33:21 [kworker/11:1H-kblockd]
    464       2 S    15-18:33:20 [jbd2/nvme0n1p4-8]
